medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	observations
6583141000006117	Benign melanocytic neoplasm	^ESCTBE658314		397195004	2
5352281000006119	Benign metastasising leiomyoma of uterus	^ESCTBE535228		254884009	7
2561191000006114	Benign neoplasm	^ESCTBE256119		3898006	10
505051000006119	Benign neoplasm connective and soft tissue head and neck NEC	B750	B750.00	255195007	30
505061000006117	Benign neoplasm connective and soft tissue head or neck NOS	B750z	B750z00	255195007	9
290529014	Benign neoplasm corpus uteri NEC	B791	B791.00	92470003	50
290606014	Benign neoplasm lacrimal duct NOS	B7E7z	B7E7z00	92169007	20
290604012	Benign neoplasm lacrimal sac	B7E70	B7E7000	189155007	10
290605013	Benign neoplasm nasolacrimal duct	B7E71	B7E7100	189156008	50
290702019	Benign neoplasm NOS	B7zz	B7zz.00	20376005	1000
507921000006118	Benign neoplasm of adenoid	B7071	B707100	91964000	40
3994831000006115	Benign neoplasm of adnexa of skin	^ESCTBE399483		91965004	3
152351018	Benign neoplasm of adrenal gland	B7H0	B7H0.00	91967007	4000
152354014	Benign neoplasm of ampulla of Vater	B7157	B715700	91970006	200
152355010	Benign neoplasm of anal canal	B7142	B714200	91971005	500
1495519010	Benign neoplasm of anterior epiglottis	B7064	B706400	91972003	20
290050011	Benign neoplasm of anterior tonsillar pillar	B7061	B706100	188795008	80
290167019	Benign neoplasm of anus	B7143	B714300	91978004	70
152364017	Benign neoplasm of aortic body	B7H51	B7H5100	91979007	3
290655017	Benign neoplasm of aortic body and other paraganglia	B7H5	B7H5.00	92085000	40
290660018	Benign neoplasm of aortic body and other paraganglia NOS	B7H5z	B7H5z00	92085000	2
152367012	Benign neoplasm of appendix	B7135	B713500	91981009	200
206785012	Benign neoplasm of articular cartilage	B73-1	B73..11	128463003	300
290243015	Benign neoplasm of aryepiglottic fold	B7216	B721600	188883003	100
290240017	Benign neoplasm of arytenoid cartilage	B7213	B721300	188880000	70
290068014	Benign neoplasm of arytenoid fold	B7082	B708200	188805008	40
152372015	Benign neoplasm of ascending colon	B7136	B713600	91985000	200
290559016	Benign neoplasm of Bartholin's gland	B7B23	B7B2300	189130001	100
152379012	Benign neoplasm of base of tongue	B7010	B701000	91990002	100
290174012	Benign neoplasm of bile duct	B7155	B715500	188845004	60
152382019	Benign neoplasm of bladder	B7D3	B7D3.00	91992005	900
483081000006115	Benign neoplasm of blood vessel	B7J-1	B7J..11	92017000	10000
152413019	Benign neoplasm of body of pancreas	B7161	B716100	92018005	300
290309014	Benign neoplasm of body of sternum	B7332	B733200	188932004	30
152415014	Benign neoplasm of body of stomach	B7113	B711300	92020008	90
3995941000006119	Benign neoplasm of bone	^ESCTBE399594		92027006	300
509813011	Benign neoplasm of bone and articular cartilage	B73	B73..00	92027006	6000
380314014	Benign neoplasm of bone of foot	B738-1	B738.11	255180005	50
3995861000006111	Benign neoplasm of bone of lower limb	^ESCTBE399586		92024004	1
403723011	Benign neoplasm of bone or articular cartilage NOS	B73z	B73z.00	92027006	300
11851151000006113	Benign neoplasm of bone structure of spine	^ESCT1185115		255178004	2
290287012	Benign neoplasm of bony palate	B730A	B730A00	188915003	100
152433015	Benign neoplasm of brain	B7F0	B7F0.00	92030004	7000
290617010	Benign neoplasm of brain, supratentorial	B7F00	B7F0000	189162003	200
403725016	Benign neoplasm of breast	B77	B77..00	269485000	50000
152435010	Benign neoplasm of broad ligament	B7B01	B7B0100	92031000	20
406268012	Benign neoplasm of bronchus and lung	B723	B723.00	271473006	1000
290259015	Benign neoplasm of bronchus or lung NOS	B723z	B723z00	271473006	90
3996191000006116	Benign neoplasm of buccal mucosa	^ESCTBE399619		92039003	8
201615012	Benign neoplasm of caecum	B7134	B713400	92040001	800
290351019	Benign neoplasm of calcaneum	B7382	B738200	188971001	300
454202015	Benign neoplasm of canthus	B7610	B761000	310600009	700
290327012	Benign neoplasm of capitate	B7356	B735600	188950006	2
509041000006118	Benign neoplasm of cardia of stomach	B7110	B711000	92042009	100
290254013	Benign neoplasm of carina of bronchus	B7230	B723000	188887002	8
152450018	Benign neoplasm of carotid body	B7H4	B7H4.00	92044005	100
152459017	Benign neoplasm of cerebral meninges	B7F2	B7F2.00	92051001	400
290622010	Benign neoplasm of cerebral meninges NOS	B7F2z	B7F2z00	92051001	70
290300013	Benign neoplasm of cervical vertebra	B7320	B732000	188925008	10
403727012	Benign neoplasm of cervix uteri NEC	B790	B790.00	92056006	2000
509820016	Benign neoplasm of cheek mucosa	B7042	B704200	92039003	400
152471011	Benign neoplasm of choroid	B7E6	B7E6.00	92059004	2000
152472016	Benign neoplasm of ciliary body	B7E00	B7E0000	92060009	20
152473014	Benign neoplasm of clavicle	B7335	B733500	92061008	100
152474015	Benign neoplasm of clitoris	B7B22	B7B2200	92062001	90
152475019	Benign neoplasm of coccygeal body	B7H52	B7H5200	92063006	40
152476018	Benign neoplasm of coccyx	B7364	B736400	92064000	30
152477010	Benign neoplasm of colon	B713	B713.00	92065004	8000
290162013	Benign neoplasm of colon NOS	B713z	B713z00	92065004	500
2471467015	Benign neoplasm of colostomy site	B7138	B713800	409705005	20
152481010	Benign neoplasm of conjunctiva	B7E3	B7E3.00	92068002	400
3996781000006118	Benign neoplasm of connective and other soft tissues	^ESCTBE399678		92069005	2
505711000006117	Benign neoplasm of connective and soft tissue lower leg NEC	B7523	B752300	92394004	40
290433016	Benign neoplasm of connective and soft tissue NOS	B75z	B75z.00	92069005	60
290424018	Benign neoplasm of connective and soft tissue of abdomen NEC	B754	B754.00	92387002	40
505741000006118	Benign neoplasm of connective and soft tissue of arm NEC	B751	B751.00	92401003	50
505751000006116	Benign neoplasm of connective and soft tissue of arm NOS	B751z	B751z00	92401003	10
290427013	Benign neoplasm of connective and soft tissue of buttock NEC	B7550	B755000	92396002	40
290403011	Benign neoplasm of connective and soft tissue of face NEC	B7500	B750000	92390008	100
290420010	Benign neoplasm of connective and soft tissue of foot NEC	B7524	B752400	92394004	60
290412013	Benign neoplasm of connective and soft tissue of forearm NEC	B7512	B751200	92401003	30
290428015	Benign neoplasm of connective and soft tissue of groin NEC	B7551	B755100	92396002	40
290413015	Benign neoplasm of connective and soft tissue of hand NEC	B7513	B751300	92401003	50
290404017	Benign neoplasm of connective and soft tissue of head NEC	B7501	B750100	92391007	10
290416011	Benign neoplasm of connective and soft tissue of hip NEC	B7520	B752000	92392000	10
290418012	Benign neoplasm of connective and soft tissue of knee NEC	B7522	B752200	92394004	60
505851000006110	Benign neoplasm of connective and soft tissue of leg NEC	B752	B752.00	92394004	30
505861000006112	Benign neoplasm of connective and soft tissue of leg NOS	B752z	B752z00	92394004	20
290405016	Benign neoplasm of connective and soft tissue of neck NEC	B7502	B750200	92395003	40
290426016	Benign neoplasm of connective and soft tissue of pelvis NEC	B755	B755.00	92396002	8
290430018	Benign neoplasm of connective and soft tissue of pelvis NOS	B755z	B755z00	92396002	5
290215012	Benign neoplasm of connective and soft tissue of peritoneum	B718A	B718A00	188868008	20
505701000006115	Benign neoplasm of connective and soft tissue of retroperitoneum	B7189	B718900	188867003	20
290417019	Benign neoplasm of connective and soft tissue of thigh NEC	B7521	B752100	92394004	70
290422019	Benign neoplasm of connective and soft tissue of thorax NEC	B753	B753.00	92399009	10
290431019	Benign neoplasm of connective and soft tissue of trunk NEC	B756	B756.00	286905003	30
505941000006115	Benign neoplasm of connective and soft tissue perineum NEC	B7552	B755200	92396002	40
505951000006118	Benign neoplasm of connective and soft tissue shoulder NEC	B7510	B751000	92398001	100
505961000006116	Benign neoplasm of connective and soft tissue upper arm NEC	B7511	B751100	92401003	9
152484019	Benign neoplasm of cornea	B7E4	B7E4.00	92070006	40
290241018	Benign neoplasm of corniculate cartilage	B7214	B721400	188881001	1
290570011	Benign neoplasm of corpus cavernosum	B7C13	B7C1300	189136007	200
290565016	Benign neoplasm of corpus spongiosum	B7C12	B7C1200	189135006	6
290534013	Benign neoplasm of corpus uteri NOS	B791z	B791z00	92021007	5
290311017	Benign neoplasm of costal cartilage	B7334	B733400	188934003	90
3996851000006115	Benign neoplasm of cranial nerve	^ESCTBE399685		92071005	30
506031000006117	Benign neoplasm of cranial nerves	B7F1	B7F1.00	92071005	200
152487014	Benign neoplasm of craniopharyngeal duct	B7H23	B7H2300	92072003	100
290238010	Benign neoplasm of cricoid cartilage	B7211	B721100	188878006	10
152489012	Benign neoplasm of cuboid	B7386	B738600	92074002	10
290242013	Benign neoplasm of cuneiform cartilage	B7215	B721500	188882008	1
152490015	Benign neoplasm of cystic duct	B7153	B715300	92075001	700
152491016	Benign neoplasm of descending colon	B7132	B713200	92076000	300
152494012	Benign neoplasm of dorsal surface of tongue	B7011	B701100	92078004	200
152497017	Benign neoplasm of duodenum	B7120	B712000	92080005	300
380315010	Benign neoplasm of ear	B762-1	B762.11	255181009	100
290663016	Benign neoplasm of endocrine gland or related structures NOS	B7Hz	B7Hz.00	92085000	60
5346861000006113	Benign neoplasm of endocrine pancreas	^ESCTBE534686		254614001	1
290531017	Benign neoplasm of endometrium	B7910	B791000	92086004	900
152506017	Benign neoplasm of epididymis	B7C3	B7C3.00	92088003	300
152507014	Benign neoplasm of epiglottis	B7212	B721200	92089006	200
152512010	Benign neoplasm of ethmoid bone	B7305	B730500	92092005	20
152513017	Benign neoplasm of ethmoidal sinus	B7204	B720400	92093000	40
152514011	Benign neoplasm of eustachian tube	B7202	B720200	92094006	9
510006014	Benign neoplasm of external lower lip	B7004	B700400	92479002	100
289993018	Benign neoplasm of external upper lip	B7001	B700100	188777005	90
509601000006112	Benign neoplasm of eye	B7E	B7E..00	92097004	800
290595012	Benign neoplasm of eye NEC	B7E0	B7E0.00	92097004	70
290602011	Benign neoplasm of eye NEC NOS	B7E0z	B7E0z00	92097004	20
290608010	Benign neoplasm of eye NOS	B7Ez	B7Ez.00	92097004	100
290449019	Benign neoplasm of eyelid including canthus	B761	B761.00	189053003	5000
380310017	Benign neoplasm of face bone	B730-1	B730.11	255177009	10
152523014	Benign neoplasm of fallopian tube	B7B00	B7B0000	92100009	80
290553015	Benign neoplasm of fallopian tube or uterine ligament NOS	B7B0z	B7B0z00	189120005	4
290549017	Benign neoplasm of fallopian tubes and uterine ligaments	B7B0	B7B0.00	189120005	10
152526018	Benign neoplasm of female breast	B770	B770.00	92102001	8000
290562018	Benign neoplasm of female genital organ	B7Bz	B7Bz.00	92103006	300
152531016	Benign neoplasm of femur	B7370	B737000	92105004	300
5590641000006119	Benign neoplasm of fibrous tissue of skin	^ESCTBE559064		276798007	20
152532011	Benign neoplasm of fibula	B7372	B737200	92106003	70
152536014	Benign neoplasm of floor of mouth	B703	B703.00	92109005	200
290025013	Benign neoplasm of frenulum of lower lip	B7006	B700600	188781005	30
290011012	Benign neoplasm of frenulum of upper lip	B7003	B700300	188779008	70
152544014	Benign neoplasm of frontal bone	B7301	B730100	92113003	100
152546011	Benign neoplasm of frontal sinus	B7205	B720500	92115005	40
152547019	Benign neoplasm of fundus of stomach	B7112	B711200	92116006	200
152548012	Benign neoplasm of gallbladder	B7152	B715200	92117002	400
152552012	Benign neoplasm of glans penis	B7C11	B7C1100	92120005	400
152553019	Benign neoplasm of glomus jugulare	B7H50	B7H5000	92121009	100
152555014	Benign neoplasm of glottis	B7218-1	B721811	92123007	60
403721013	Benign neoplasm of glottis NOS	B721z	B721z00	92123007	100
3998021000006115	Benign neoplasm of gum	^ESCTBE399802		92126004	2
290328019	Benign neoplasm of hamate	B7357	B735700	188951005	20
3998091000006118	Benign neoplasm of hand	^ESCTBE399809		92128003	1
290331018	Benign neoplasm of hand bone NOS	B735z	B735z00	188943007	30
290320014	Benign neoplasm of hand bones	B735	B735.00	188943007	40
152564016	Benign neoplasm of hard palate	B7044	B704400	92129006	800
152565015	Benign neoplasm of head of pancreas	B7160	B716000	92130001	600
152568018	Benign neoplasm of heart	B727	B727.00	92132009	90
290173018	Benign neoplasm of hepatic duct	B7154	B715400	188844000	20
152570010	Benign neoplasm of hepatic flexure of colon	B7130	B713000	92133004	100
3996101000006111	Benign neoplasm of hilar lymph nodes	^ESCTBE399610		92032007	1
290316010	Benign neoplasm of humerus	B7341	B734100	188939008	100
152576016	Benign neoplasm of hypopharynx	B708	B708.00	92139000	20
290069018	Benign neoplasm of hypopharynx NOS	B708z	B708z00	92139000	7
380304017	Benign neoplasm of ileocaecal valve	B7139	B713900	255172003	30
506551000006118	Benign neoplasm of ileocaecal valve	B713-2	B713.12	255172003	20
152578015	Benign neoplasm of ileum	B7122	B712200	92140003	50
152580014	Benign neoplasm of ilium	B7360	B736000	92142006	10
2475985013	Benign neoplasm of inferior concha	B730E	B730E00	254479007	50
14474201000006117	Benign neoplasm of infratentorial brain	^ESCT1447420		350841000119107	1
290020015	Benign neoplasm of internal lower lip	B7005	B700500	188780006	300
290006010	Benign neoplasm of internal upper lip	B7002	B700200	188778000	50
152597015	Benign neoplasm of intrahepatic bile ducts	B7151	B715100	92154006	10
506631000006112	Benign neoplasm of intrathoracic organ	B72-1	B72..11	92157004	7
292241012	Benign neoplasm of intrathoracic organs	ByuGL	ByuGL00	92157004	4
290598014	Benign neoplasm of iris	B7E01	B7E0100	189151003	300
152604011	Benign neoplasm of ischium	B7361	B736100	92158009	10
2475990011	Benign neoplasm of islets of Langerhans	B717	B717.00	254614001	20
290200011	Benign neoplasm of islets of Langerhans NOS	B717z	B717z00	254614001	6
152609018	Benign neoplasm of jejunum	B7121	B712100	92162003	40
152612015	Benign neoplasm of kidney	B7D0-1	B7D0.11	92165001	1000
403729010	Benign neoplasm of kidney and other urinary organs	B7D	B7D..00	92468007	2000
290592010	Benign neoplasm of kidney or urinary organ NOS	B7Dz	B7Dz.00	92468007	100
152614019	Benign neoplasm of labia majora	B7B20	B7B2000	92166000	400
152615018	Benign neoplasm of labia minora	B7B21	B7B2100	92167009	300
290289010	Benign neoplasm of lacrimal bone	B730C	B730C00	188917006	5
506751000006110	Benign neoplasm of lacrimal duct	B7E7	B7E7.00	92169007	40
152617014	Benign neoplasm of lacrimal gland	B7E2	B7E2.00	92169007	100
152624010	Benign neoplasm of larynx	B721	B721.00	92175003	400
290354010	Benign neoplasm of lateral cuneiform	B7385	B738500	188974009	3
13685721000006111	Benign neoplasm of left breast	^ESCT1368572		350821000119101	2
152636016	Benign neoplasm of lingual tonsil	B7013	B701300	92184003	200
152637013	Benign neoplasm of lip	B700	B700.00	92185002	1000
290028010	Benign neoplasm of lip NOS	B700z	B700z00	92185002	200
406053017	Benign neoplasm of lip, oral cavity and pharynx	B70	B70..00	271324001	2000
290071018	Benign neoplasm of lip, oral cavity and pharynx NOS	B70z	B70z.00	271324001	30
5523411000006118	Benign neoplasm of lip, oral cavity and/or pharynx	^ESCTBE552341		271324001	2
152639011	Benign neoplasm of liver	B7150	B715000	92186001	1000
406334016	Benign neoplasm of liver and biliary ducts	B715	B715.00	271527007	20
290176014	Benign neoplasm of liver and/or biliary ducts	B715z	B715z00	271527007	20
290345012	Benign neoplasm of long bone of lower limb NOS	B737z	B737z00	188963000	40
290341015	Benign neoplasm of long bones of lower limb	B737	B737.00	188963000	100
1217168010	Benign neoplasm of lower 1/3 of oesophagus	B7103	B710300	92193002	40
290265015	Benign neoplasm of lower anterior mediastinum	B7251	B725100	188898001	20
152645015	Benign neoplasm of lower gum	B7041	B704100	92189008	400
509905011	Benign neoplasm of lower jaw bone	B731	B731.00	92208007	100
290295011	Benign neoplasm of lower jaw bone NOS	B731z	B731z00	92208007	10
290258011	Benign neoplasm of lower lobe bronchus and lung	B7234	B723400	188891007	100
290266019	Benign neoplasm of lower middle mediastinum	B7252	B725200	188899009	1
290267011	Benign neoplasm of lower posterior mediastinum	B7253	B725300	188900004	10
3999251000006112	Benign neoplasm of lower third of oesophagus	^ESCTBE399925		92193002	3
290302017	Benign neoplasm of lumbar vertebra	B7322	B732200	188927000	200
290322018	Benign neoplasm of lunate	B7351	B735100	188945000	40
379203010	Benign neoplasm of lung	B723-1	B723.11	92196005	700
507001000006110	Benign neoplasm of lymph node	B7z0	B7z0.00	92197001	1000
3999401000006114	Benign neoplasm of lymph nodes of neck	^ESCTBE399940		92202008	2
152668012	Benign neoplasm of main bronchus	B7231	B723100	92204009	20
290037010	Benign neoplasm of major salivary gland	B702z	B702z00	92205005	200
1235722014	Benign neoplasm of major salivary glands	B702	B702.00	92205005	500
152671016	Benign neoplasm of male breast	B771	B771.00	92206006	200
292231014	Benign neoplasm of male genital organ	ByuGD	ByuGD00	92207002	10
290581014	Benign neoplasm of male genital organ NOS	B7Cz	B7Cz.00	92207002	7
1235723016	Benign neoplasm of male genital organs	B7C	B7C..00	92207002	10
152675013	Benign neoplasm of mandible	B7310	B731000	92208007	400
290308018	Benign neoplasm of manubrium sterni	B7331	B733100	188931006	20
152677017	Benign neoplasm of maxilla	B7307	B730700	92210009	100
152678010	Benign neoplasm of maxillary sinus	B7203	B720300	92211008	100
290352014	Benign neoplasm of medial cuneiform	B7383	B738300	188972008	8
152681017	Benign neoplasm of mediastinum	B725	B725.00	92214000	200
290268018	Benign neoplasm of mediastinum NOS	B725z	B725z00	92214000	20
292245015	Benign neoplasm of meninges	ByuGP	ByuGP00	109913001	200
507141000006111	Benign neoplasm of meninges, unspecified	B7FX	B7FX.00	109913001	100
290208016	Benign neoplasm of mesocolon	B7183	B718300	188861002	20
290209012	Benign neoplasm of mesorectum	B7184	B718400	188862009	5
174531019	Benign neoplasm of mesothelial tissue of peritoneum	B7188	B718800	109852009	40
173926016	Benign neoplasm of mesothelial tissue of pleura	B7242	B724200	109372009	20
507191000006119	Benign neoplasm of mesothelial tissue, unspecified	B7zyX	B7zyX00	254825007	20
290329010	Benign neoplasm of metacarpal	B7358	B735800	188952003	30
152685014	Benign neoplasm of metatarsal bone	B7388	B738800	92217007	30
1217179017	Benign neoplasm of middle 1/3 of oesophagus	B7102	B710200	92219005	10
290353016	Benign neoplasm of middle cuneiform	B7384	B738400	188973003	2
152686010	Benign neoplasm of middle ear	B7201	B720100	92218002	70
290257018	Benign neoplasm of middle lobe bronchus and lung	B7233	B723300	188890008	50
3999761000006115	Benign neoplasm of middle third of oesophagus	^ESCTBE399976		92219005	2
292216017	Benign neoplasm of mouth region	ByuG0	ByuG000	419958000	90
290532012	Benign neoplasm of myometrium	B7911	B791100	92239009	70
152711018	Benign neoplasm of nasal bone	B7309	B730900	92240006	20
152712013	Benign neoplasm of nasal cavity	B7200	B720000	92241005	300
509786019	Benign neoplasm of nasal sinus	B720-1	B720.11	91961008	30
290066013	Benign neoplasm of nasopharyngeal floor	B7073	B707300	188803001	7
509978014	Benign neoplasm of nasopharyngeal roof	B7070	B707000	92418004	10
290057014	Benign neoplasm of nasopharynx	B707	B707.00	188800003	90
290356012	Benign neoplasm of navicular	B7387	B738700	188976006	70
4000131000006112	Benign neoplasm of neck	^ESCTBE400013		92246000	2
152728015	Benign neoplasm of nose	B7zy1	B7zy100	92250007	100
507351000006111	Benign neoplasm of nose	B7200-1	B720011	92250007	100
290236014	Benign neoplasm of nose, ear or accessory sinuses NOS	B720z	B720z00	271472001	10
406267019	Benign neoplasm of nose, middle ear and accessory sinuses	B720	B720.00	271472001	30
152731019	Benign neoplasm of occipital bone	B7306	B730600	92252004	200
201618014	Benign neoplasm of oesophagus	B710	B710.00	92091003	800
290098019	Benign neoplasm of oesophagus NOS	B710z	B710z00	92091003	40
290210019	Benign neoplasm of omentum	B7185	B718500	188863004	30
2577839015	Benign neoplasm of oral cavity	B70-1	B70..11	419645003	300
290040010	Benign neoplasm of oral cavity NOS	B704z	B704z00	419645003	50
507441000006118	Benign neoplasm of oral cavity NOS	B704	B704.00	419645003	200
152737015	Benign neoplasm of orbit	B7E1	B7E1.00	92258000	300
290053013	Benign neoplasm of oropharyngeal wall	B7065	B706500	188798005	40
290054019	Benign neoplasm of oropharynx	B706z	B706z00	92259008	60
290697011	Benign neoplasm of other and unspecified site	B7z	B7z..00	20376005	800
403728019	Benign neoplasm of other female genital organs	B7B	B7B..00	92103006	500
290575018	Benign neoplasm of other male genital organ	B7Cy	B7Cy.00	92207002	5
290580010	Benign neoplasm of other male genital organ NOS	B7Cyz	B7Cyz00	92207002	4
290049011	Benign neoplasm of other parts of oropharynx	B706	B706.00	92259008	40
290661019	Benign neoplasm of other specified endocrine site	B7Hy	B7Hy.00	92085000	30
290607017	Benign neoplasm of other specified parts of eye	B7Ey	B7Ey.00	92097004	60
507601000006118	Benign neoplasm of other specified site female genital organ	B7By	B7By.00	92103006	200
290591015	Benign neoplasm of other specified site of urinary tract NOS	B7Dyz	B7Dyz00	92468007	3
290699014	Benign neoplasm of other specified sites	B7zy	B7zy.00	20376005	80
290269014	Benign neoplasm of other specified sites of mediastinum	B72y	B72y.00	92214000	30
290535014	Benign neoplasm of other specified sites of uterus	B79y	B79y.00	92470003	20
290516014	Benign neoplasm of other specified skin sites	B76y	B76y.00	92384009	1000
290589011	Benign neoplasm of other specified urinary organ	B7Dy	B7Dy.00	92468007	6
290552013	Benign neoplasm of ovarian ligament	B7B03	B7B0300	189123007	100
152740015	Benign neoplasm of ovary	B7A	B7A..00	92260003	6000
152743018	Benign neoplasm of palatine bone	B730B	B730B00	92262006	30
4000561000006112	Benign neoplasm of pancreas	^ESCTBE400056		92264007	4
507701000006113	Benign neoplasm of pancreas, excluding islets NOS	B716z	B716z00	271956003	90
290177017	Benign neoplasm of pancreas, excluding islets of Langerhans	B716	B716.00	188848002	100
152748010	Benign neoplasm of pancreatic duct	B7163	B716300	92265008	300
152756013	Benign neoplasm of parathyroid gland	B7H1	B7H1.00	92272009	2000
152757016	Benign neoplasm of paraurethral glands	B7Dy1	B7Dy100	92273004	200
152759018	Benign neoplasm of parietal bone	B7302	B730200	92275006	90
152761010	Benign neoplasm of parietal peritoneum	B7186	B718600	92277003	3
152762015	Benign neoplasm of parietal pleura	B7240	B724000	92278008	5
152763013	Benign neoplasm of parotid gland	B7020	B702000	92279000	3000
152765018	Benign neoplasm of patella	B7380	B738000	92281003	60
290340019	Benign neoplasm of pelvic bone, sacrum or coccyx NOS	B736z	B736z00	188955001	20
290332013	Benign neoplasm of pelvic bones, sacrum and coccyx	B736	B736.00	188955001	40
152769012	Benign neoplasm of pelvic peritoneum	B7187	B718700	92284006	30
152772017	Benign neoplasm of penis	B7C1	B7C1.00	92286008	300
290571010	Benign neoplasm of penis NOS	B7C1z	B7C1z00	92286008	60
152774016	Benign neoplasm of periadrenal tissue	B7180	B718000	92287004	4
152775015	Benign neoplasm of perianal skin	B7658	B765800	92288009	300
290205018	Benign neoplasm of perinephric tissue	B7181	B718100	188859006	9
6782021000006116	Benign neoplasm of peripheral nerve	^ESCTBE678202		409660009	1
13789891000006112	Benign neoplasm of peritoneum and retroperitoneum	^ESCT1378989		188857008	7
152778018	Benign neoplasm of phalanx of foot	B7389	B738900	92291009	30
152779014	Benign neoplasm of phalanx of hand	B7359	B735900	92292002	90
290065012	Benign neoplasm of pharyngeal recess	B7072	B707200	188802006	30
152780012	Benign neoplasm of pharynx	B70-2	B70..12	92293007	50
507941000006113	Benign neoplasm of pharynx, unspecified	B70X	B70X.00	92293007	20
152782016	Benign neoplasm of pineal gland	B7H3	B7H3.00	92294001	300
290324017	Benign neoplasm of pisiform	B7353	B735300	188947008	5
507971000006117	Benign neoplasm of pituitary and craniopharyngeal duct NOS	B7H2z	B7H2z00	271479005	200
152784015	Benign neoplasm of pituitary gland	B7H20	B7H2000	92296004	6000
406274012	Benign neoplasm of pituitary gland and craniopharyngeal duct	B7H2	B7H2.00	271479005	5000
152786018	Benign neoplasm of pleura	B724	B724.00	92298003	80
290263010	Benign neoplasm of pleura NOS	B724z	B724z00	92298003	20
290659011	Benign neoplasm of pluriglandular involvement	B7H53	B7H5300	92222007	4
152789013	Benign neoplasm of postcricoid region	B7080	B708000	92300003	20
152790016	Benign neoplasm of posterior hypopharyngeal wall	B7083	B708300	92301004	4
290051010	Benign neoplasm of posterior tonsillar pillar	B7062	B706200	188796009	40
3997671000006111	Benign neoplasm of prepuce	^ESCTBE399767		92112008	1
1235719012	Benign neoplasm of prepuce of penis	B7C10	B7C1000	92112008	100
152797018	Benign neoplasm of prostate	B7C2	B7C2.00	92308005	3000
152798011	Benign neoplasm of pubis	B7362	B736200	92309002	20
152799015	Benign neoplasm of pyloric antrum	B7114	B711400	92310007	90
1235727015	Benign neoplasm of pyloric canal	B7115	B711500	92311006	20
4001411000006117	Benign neoplasm of pylorus	^ESCTBE400141		92311006	7
1235726012	Benign neoplasm of pylorus of stomach	B7111	B711100	92311006	70
1235728013	Benign neoplasm of pyriform fossa	B7081	B708100	92312004	90
4001461000006119	Benign neoplasm of pyriform sinus	^ESCTBE400146		92312004	2
152802012	Benign neoplasm of radius	B7342	B734200	92313009	30
508141000006110	Benign neoplasm of Rathke's pouch	B7H21	B7H2100	189179009	300
152803019	Benign neoplasm of rectosigmoid junction	B7140	B714000	92314003	80
152808011	Benign neoplasm of rectum	B7141	B714100	92318000	1000
290163015	Benign neoplasm of rectum and anal canal	B714	B714.00	188838004	80
290168012	Benign neoplasm of rectum or anal canal NOS	B714z	B714z00	188838004	20
403731018	Benign neoplasm of renal parenchyma	B7D0	B7D0.00	269489006	400
152809015	Benign neoplasm of renal pelvis	B7D1	B7D1.00	92319008	200
403719015	Benign neoplasm of respiratory and intrathoracic organs	B72	B72..00	269481009	800
290270010	Benign neoplasm of respiratory or intrathoracic organs NOS	B72z	B72z.00	269481009	3
152812017	Benign neoplasm of retina	B7E5	B7E5.00	92321003	400
201622016	Benign neoplasm of retrocaecal tissue	B7182	B718200	92322005	30
4001761000006114	Benign neoplasm of retromolar area	^ESCTBE400176		92323000	1
4003541000006116	Benign neoplasm of retroperitoneum	^ESCTBE400354		92433007	3
290202015	Benign neoplasm of retroperitoneum and peritoneum	B718	B718.00	188857008	200
290218014	Benign neoplasm of retroperitoneum or peritoneum NOS	B718z	B718z00	188857008	50
152817011	Benign neoplasm of rib	B7330	B733000	92326008	100
290313019	Benign neoplasm of rib, sternum or clavicle NOS	B733z	B733z00	271475004	9
5524971000006116	Benign neoplasm of ribs and/or sternum and/or clavicle	^ESCTBE552497		271475004	4
406270015	Benign neoplasm of ribs, sternum and clavicle	B733	B733.00	271475004	10
4001841000006115	Benign neoplasm of right upper lobe of lung	^ESCTBE400184		92329001	2
508311000006114	Benign neoplasm of round ligament	B7B02	B7B0200	92330006	30
152824012	Benign neoplasm of sacrum	B7363	B736300	92332003	50
5356781000006110	Benign neoplasm of salivary gland	^ESCTBE535678		255154009	1
1235731014	Benign neoplasm of scalp	B7640	B764000	92375009	5000
290464019	Benign neoplasm of scalp and skin of neck	B764	B764.00	189064000	1000
290465018	Benign neoplasm of scalp or skin of neck NOS	B764z	B764z00	189064000	200
290321013	Benign neoplasm of scaphoid	B7350	B735000	188944001	40
152826014	Benign neoplasm of scapula	B7340	B734000	92334002	100
290314013	Benign neoplasm of scapula and long bones of upper limb	B734	B734.00	188937005	7
290319015	Benign neoplasm of scapula or long bones of upper limb NOS	B734z	B734z00	188937005	7
152827017	Benign neoplasm of sclera	B7E02	B7E0200	92335001	70
290574019	Benign neoplasm of scrotal skin	B7C4	B7C4.00	189138008	900
4001911000006114	Benign neoplasm of scrotum	^ESCTBE400191		92336000	1
290649010	Benign neoplasm of sella turcica	B7H22	B7H2200	189180007	90
290578016	Benign neoplasm of seminal vesicle	B7Cy0	B7Cy000	189140003	20
290359017	Benign neoplasm of short bone of lower limb NOS	B738z	B738z00	271476003	10
406271016	Benign neoplasm of short bones of lower limb	B738	B738.00	271476003	30
152838017	Benign neoplasm of sigmoid colon	B7133	B713300	92343006	2000
152883016	Benign neoplasm of skin	B76	B76..00	92384009	500000
290517017	Benign neoplasm of skin NOS	B76z	B76z.00	92384009	20000
