medcodeid	term	originalreadcode	snomedctconceptid	eod_cat
6050061000006116	type i diabetes mellitus with hypoglycemic coma			0
6050071000006111	insulin dependent diabetes mellitus with hypoglycemic coma			0
6050081000006114	type 1 diabetes mellitus with hypoglycemic coma			0
6051171000006117	insulin dependent diabetes mellitus with arthropathy			1
6056601000006112	digami - diabetes mellitus insulin-glucose infusion in acute myocardial infarction			1
616081000006113	diab mellit insulin-glucose infus acute myocardial infarct	889A	315287002	1
616241000006112	diabetes mellitus induced by steroids	C10B	190447002	0
616351000006115	diabetes mellitus with gangrene	C107-1	422275004	1
616381000006111	diabetes mellitus with ketoacidotic coma	C103	26298008	0
616391000006114	diabetes mellitus with neurological manifestation	C106	422088007	1
616421000006118	diabetes mellitus with ophthalmic manifestation	C105	25093002	1
616441000006113	diabetes mellitus with peripheral circulatory disorder	C107	421895002	1
616451000006110	diabetes mellitus with polyneuropathy	C106-3	49455004	1
616461000006112	diabetes mellitus with renal manifestation	C104	127013003	1
616481000006119	diabetes mellitus, adult onset, + neurological manifestation	C1061	421326000	1
616491000006116	diabetes mellitus, adult onset, + ophthalmic manifestation	C1051	422099009	1
616501000006112	diabetes mellitus, adult onset, + unspecified complication	C10z1	422014003	1
616511000006110	diabetes mellitus, adult onset, no mention of complication	C1001	313436004	0
616531000006116	diabetes mellitus, adult onset, with ketoacidosis	C1011	421750000	0
616541000006114	diabetes mellitus, adult onset, with ketoacidotic coma	C1031	421847006	0
616551000006111	diabetes mellitus, adult onset, with renal manifestation	C1041	420279001	1
616561000006113	diabetes mellitus, adult with gangrene	C1072	421631007	1
616571000006118	diabetes mellitus, adult, + other specified manifestation	C10y1	73211009	1
616581000006115	diabetes mellitus, adult, + peripheral circulatory disorder	C1071	422166005	1
616591000006117	diabetes mellitus, juvenile +peripheral circulatory disorder	C1070	421365002	1
616601000006113	diabetes mellitus, juvenile type, + ophthalmic manifestation	C1050	739681000	1
616611000006111	diabetes mellitus, juvenile type, + unspecified complication	C10z0	420868002	1
616621000006115	diabetes mellitus, juvenile type, no mention of complication	C1000	313435000	0
616641000006110	diabetes mellitus, juvenile type, with ketoacidosis	C1010	420270002	0
616651000006112	diabetes mellitus, juvenile type, with ketoacidotic coma	C1030	421075007	0
616661000006114	diabetes mellitus, juvenile type, with renal manifestation	C1040	421893009	1
616671000006119	diabetes mellitus, juvenile, + neurological manifestation	C1060	421468001	1
616681000006116	diabetes mellitus, juvenile, + other specified manifestation	C10y0	73211009	1
616831000006118	diabetes with gangrene	C107-2	422275004	1
616921000006113	diabetic amyotrophy	C106-1	39058009	1
616971000006114	diabetic charcot arthropathy	N0301	201724008	1
622221000000118	maternally inherited diabetes mellitus	C10FS	335621000000101	0
641581000006115	non-insulin-dependent diabetes mellitus with retinopathy	C1096	422034002	1
646031000000112	insulin treatment initiated	66Ap	345041000000101	0
6515171000006112	nonproliferative diabetic retinopathy	^ESCTNO651517	390834004	1
6515201000006111	npdr - non proliferative diabetic retinopathy	^ESCTNP651520	390834004	1
6515211000006114	bdr - background diabetic retinopathy	^ESCTBD651521	390834004	1
6515451000006111	on examination - diabetic maculopathy present both eyes	^ESCTON651545	390854003	1
6546241000006111	on examination - right diabetic foot at low risk	^ESCTON654624	394671009	0
6546261000006110	on examination - right diabetic foot at high risk	^ESCTON654626	394672002	1
6546281000006117	on examination - right diabetic foot - ulcerated	^ESCTON654628	394673007	1
6546301000006118	on examination - left diabetic foot - ulcerated			1
6546321000006111	on examination - left diabetic foot at low risk	^ESCTON654632	394675000	0
6546341000006116	on examination - left diabetic foot at high risk	^ESCTON654634	394676004	1
6546411000006113	on examination - left diabetic foot at moderate risk	^ESCTON654641	394681008	1
6546431000006119	on examination - right diabetic foot at moderate risk	^ESCTON654643	394682001	1
65526011	diabetic amyotrophy	F3813-1	39058009	1
6618061000006116	bronze diabetes			1
674961000006118	niddm with peripheral circulatory disorder	C1074	422166005	1
6761781000006114	on examination - right eye background diabetic retinopathy	^ESCTON676178	408409007	1
6761801000006113	on examination - left eye background diabetic retinopathy	^ESCTON676180	408410002	1
6761821000006115	on examination - right eye preproliferative diabetic retinopathy	^ESCTON676182	408411003	1
6761841000006110	on examination - left eye preproliferative diabetic retinopathy	^ESCTON676184	408412005	1
6761861000006114	on examination - right eye proliferative diabetic retinopathy	^ESCTON676186	408413000	1
6761881000006116	on examination - left eye proliferative diabetic retinopathy	^ESCTON676188	408414006	1
6763731000006114	dm induced by non-steroid drug			0
6763741000006116	dm caused by non-steroid drug			0
6763751000006119	diabetes mellitus caused by non-steroid drugs			0
6837991000006112	diabetes mellitus caused by non-steroid drugs without complication			0
6866421000006113	on examination - left chronic diabetic foot ulcer			1
6866541000006117	on examination - left eye stable treated proliferative diabetic retinopathy	^ESCTON686654	414894003	1
6866781000006116	on examination - right chronic diabetic foot ulcer	^ESCTON686678	414906009	1
6866901000006111	on examination - right eye stable treated proliferative diabetic retinopathy	^ESCTON686690	414910007	1
6910411000006112	on examination - sight threatening diabetic retinopathy			1
6951081000006112	ketoacidosis in type i diabetes mellitus			0
6951091000006110	diabetes type 1 with ketoacidosis	^ESCTDI695109	420270002	0
6951281000006117	kidney disorder associated with type 2 diabetes mellitus			1
6953861000006110	diabetic ketoacidosis	^ESCTDI695386	420422005	0
6953871000006115	ketoacidosis in diabetes mellitus	^ESCTKE695387	420422005	0
6953891000006119	diabetic acidosis	^ESCTDI695389	420422005	0
6953901000006115	dka - diabetic ketoacidosis	^ESCTDK695390	420422005	0
6954121000006112	mononeuropathy associated with type ii diabetes mellitus			1
6954991000006112	exudative maculopathy associated with type i diabetes mellitus	^ESCTEX695499	420486006	1
6955501000006113	persistent proteinuria associated with type i diabetes mellitus			1
6959091000006114	persistent microalbuminuria associated with type ii diabetes mellitus			1
6959801000006112	diabetic cataract associated with type ii diabetes mellitus			1
6959811000006110	diabetes type 2 with cataract	^ESCTDI695981	420756003	1
6960431000006119	diabetic retinopathy associated with type i diabetes mellitus			1
6960441000006112	diabetes type 1 with retinopathy			1
6961081000006118	gangrene associated with type 1 diabetes mellitus			1
6961091000006115	gangrene associated with type i diabetes mellitus			1
6961101000006114	diabetes type 1 with gangrene			1
6961901000006111	disorder associated with type i diabetes mellitus			1
6962751000006117	mononeuropathy associated with type i diabetes mellitus			1
6964251000006119	coma associated with malnutrition-related diabetes mellitus			0
6965561000006116	ketoacidotic coma in type i diabetes mellitus			0
6965571000006111	diabetes mellitus type 1 with ketoacidotic coma			0
6969921000006119	neurologic disorder associated with type ii diabetes mellitus			1
6969931000006116	diabetes type 2 with neurological disorder	^ESCTDI696993	421326000	1
6970621000006114	peripheral circulatory disorder associated with type 1 diabetes mellitus			1
6970631000006112	peripheral circulatory disorder associated with type i diabetes mellitus			1
6972441000006117	neurological disorder associated with type i diabetes mellitus			1
6972451000006115	diabetes type 1 with neurological disorder			1
6975211000006112	gangrene associated with type 2 diabetes mellitus			1
6975221000006116	gangrene associated with type ii diabetes mellitus			1
6977421000006110	ketoacidosis in type ii diabetes mellitus	^ESCTKE697742	421750000	0
6977431000006113	diabetes type 2 with ketoacidosis	^ESCTDI697743	421750000	0
6977971000006119	exudative maculopathy associated with type ii diabetes mellitus	^ESCTEX697797	421779007	1
6979251000006110	diabetes mellitus type 2 with ketoacidotic coma			0
6979991000006111	renal disorder associated with type i diabetes mellitus			1
6980001000006117	kidney disorder associated with type 1 diabetes mellitus			1
6980041000006115	diabetic peripheral circulatory disorder			1
6980431000006116	diabetic cataract associated with type i diabetes mellitus			1
6980441000006114	diabetes type 1 with cataract			1
6981621000006113	persistent proteinuria associated with type ii diabetes mellitus			1
6982151000006118	disorder due to type ii diabetes mellitus			0
6982511000006110	diabetic retinopathy associated with type ii diabetes mellitus			1
6982521000006119	diabetes type 2 with retinopathy	^ESCTDI698252	422034002	1
6983511000006117	neurologic complication of diabetes mellitus			1
6983521000006113	diabetic neurologic disease			1
6983691000006114	diabetic oculopathy associated with type ii diabetes mellitus			1
6985001000006110	peripheral circulatory disorder associated with type 2 diabetes mellitus			1
6985011000006113	peripheral circulatory disorder associated with type ii diabetes mellitus			1
6985411000006117	diabetic skin ulcer	^ESCTDI698541	422183001	1
6985421000006113	skin ulcer associated with diabetes mellitus			1
6986151000006117	multiple complications of type i diabetes mellitus			1
6987011000006115	gangrene associated with diabetes mellitus			1
7063141000006118	diabetes mellitus co-occurrent and due to cystic fibrosis			1
7065531000006115	latent autoimmune diabetes mellitus in adult (lada)	^ESCTLA706553	426875007	0
719531000006118	malnutrition-related diabetes mellitus	C10A	75524006	0
719541000006111	malnutrition-related diabetes mellitus with coma	C10A0	420996007	0
719601000006110	malnutritn-relat diabetes melitus wth periph circul complctn	C10A5	190410002	1
72651000006114	unstable insulin dependent diabetes mellitus	C1084	11530004	0
72711000006117	unstable type 1 diabetes mellitus	C1084-2	290002008	0
72721000006113	unstable type i diabetes mellitus	C1084-1	290002008	0
7281511000006118	type 2 diabetes mellitus uncontrolled	^ESCTTY728151	443694000	0
7287611000006113	type 1 diabetes mellitus uncontrolled	^ESCTTY728761	444073006	0
7287621000006117	type i diabetes mellitus uncontrolled	^ESCTTY728762	444073006	0
73294018	diabetic cataract	F4640	43959009	1
73466011	non-insulin dependent diabetes mellitus	C1001-2	44054006	0
746791000006111	insulin-dependent diabetes without complication	C108A	111552007	0
7500191000006118	maturity onset diabetes of the young, type 1	^ESCTMA750019	609562003	0
7500201000006115	mody1	^ESCTMO750020	609562003	0
7500341000006113	mody5 - maturity-onset diabetes of the young type 5			0
7500351000006110	renal cysts and diabetes syndrome	^ESCTRE750035	609572000	1
7500361000006112	rcad (renal cysts and diabetes) syndrome			1
764191000006112	foot abnormality - diabetes related	2G510	280137006	1
764201000006110	foot abnormality - diabetes related	2G5C	280137006	1
7708051000006112	gastroparesis due to diabetes mellitus type i	^ESCTGA770805	713702000	1
7708071000006119	gastroparesis due to diabetes mellitus type ii			1
7708091000006118	polyneuropathy due to type 1 diabetes mellitus	^ESCTPO770809	713705003	1
7708121000006119	polyneuropathy due to diabetes mellitus type ii			1
771331000006116	insulin dependent diabetes mellitus with arthropathy	C108H	39710007	1
771341000006114	insulin dependent diabetes mellitus with diabetic cataract	C108F	43959009	1
771351000006111	insulin dependent diabetes mellitus with gangrene	C1086	422275004	1
771361000006113	insulin dependent diabetes mellitus with hypoglycaemic coma	C108E	237632004	0
771371000006118	insulin dependent diabetes mellitus with mononeuropathy	C108B	230577008	1
771381000006115	insulin dependent diabetes mellitus with multiple complicatn	C1083	385041000000108	1
771391000006117	insulin dependent diabetes mellitus with nephropathy	C108D	127013003	1
771401000006115	insulin dependent diabetes mellitus with polyneuropathy	C108C	49455004	1
771411000006117	insulin dependent diabetes mellitus with retinopathy	C1087	4855003	1
771421000006113	insulin dependent diabetes mellitus with ulcer	C1085	422183001	1
771481000006112	insulin-dependent diabetes mellitus with neurological comps	C1082	422088007	1
771491000006110	insulin-dependent diabetes mellitus with ophthalmic comps	C1081	25093002	1
771501000006119	insulin-dependent diabetes mellitus with renal complications	C1080	127013003	1
772131000006111	insulin dependent diab mell with neuropathic arthropathy	C108J	201724008	1
772141000006118	insulin dependent diab mell with peripheral angiopathy	C108G	421895002	1
772151000006116	insulin dependent diabetes maturity onset	C1089	73211009	0
772161000006119	insulin dependent diabetes mellitus	C1000-1	73211009	0
772171000006114	insulin dependent diabetes mellitus	C108	73211009	0
772181000006112	insulin dependent diabetes mellitus - poor control	C1088	268519009	0
777231000006119	injection sites - diabetic	66AA-1	268517006	0
77727018	insulin dependent diabetes mellitus	C10E-2	73211009	0
7783451000006114	hypoglycaemic coma co-occurrent and due to diabetes mellitus type ii			0
787101000006114	iddm with peripheral circulatory disorder	C1073	421895002	1
787111000006112	iddm-insulin dependent diabetes mellitus	C108-1	73211009	0
8014491000006111	peripheral vascular disease due to type i diabetes			1
8022441000006118	neuropathic arthropathy due to type 1 diabetes mellitus			1
8022461000006119	diabetic neuropathic arthropathy due to type 1 diabetes mellitus			1
8022471000006114	diabetes mellitus type 1 with diabetic charcot's arthropathy			1
8084961000006111	diabetes type ii review	^ESCTDI808496	279321000000104	0
8119331000006114	Hyperglycaemia due to type 1 diabetes mellitus	^ESCTHY811933	367991000119101	0
8119451000006114	Hyperglycaemia due to type 2 diabetes mellitus	^ESCTHY811945	368051000119109	0
82373015	diabetic polyneuropathy	F372-1	49455004	1
8343301000006117	dpnp - diabetic peripheral neuropathic pain			1
840951000006119	insulin treated type 2 diabetes mellitus	C109J	237599002	0
840971000006112	diabetes mellitus autosomal dominant type 2	C10D	237604008	0
841011000006112	high risk non proliferative diabetic retinopathy	F4208	312905005	1
841351000006110	insulin treated type ii diabetes mellitus	C109J-2	237599002	0
84281000006115	type 1 diabetes mellitus	C108-2	46635009	0
84291000006117	type 1 diabetes mellitus - poor control	C1088-2	444073006	0
84301000006116	type 1 diabetes mellitus maturity onset	C1089-2	190372001	0
84311000006118	type 1 diabetes mellitus with arthropathy	C108H-2	314893005	1
84321000006114	type 1 diabetes mellitus with diabetic cataract	C108F-2	421920002	1
84331000006112	type 1 diabetes mellitus with gangrene	C1086-2	420825003	1
84341000006119	type 1 diabetes mellitus with hypoglycaemic coma	C108E-2	314771006	0
84351000006117	type 1 diabetes mellitus with mononeuropathy			1
84361000006115	type 1 diabetes mellitus with multiple complications	C1083-2	422228004	1
84371000006110	type 1 diabetes mellitus with nephropathy	C108D-2	421893009	1
84381000006113	type 1 diabetes mellitus with neurological complications	C1082-2	421468001	1
84391000006111	type 1 diabetes mellitus with neuropathic arthropathy	C108J-2	71771000119100	1
84401000006113	type 1 diabetes mellitus with ophthalmic complications	C1081-2	739681000	1
84411000006111	type 1 diabetes mellitus with peripheral angiopathy			1
84421000006115	type 1 diabetes mellitus with polyneuropathy	C108C-2	713705003	1
84431000006117	type 1 diabetes mellitus with renal complications	C1080-2	421893009	1
84441000006110	type 1 diabetes mellitus with retinopathy	C1087-2	420789003	1
84451000006112	type 1 diabetes mellitus with ulcer	C1085-2	190368000	1
84461000006114	type 1 diabetes mellitus without complication	C108A-2	313435000	0
84471000006119	type 2 diabetes mellitus	C109-2	44054006	0
84481000006116	type 2 diabetes mellitus - poor control	C1097-2	443694000	0
84491000006118	type 2 diabetes mellitus with arthropathy	C109G-2	314903002	1
84501000006114	type 2 diabetes mellitus with diabetic cataract	C109E-2	420756003	1
84511000006112	type 2 diabetes mellitus with gangrene	C1095-2	421631007	1
84521000006116	type 2 diabetes mellitus with hypoglycaemic coma	C109D-2	719216001	0
84531000006118	type 2 diabetes mellitus with mononeuropathy	C109A-2	420436000	1
84541000006111	type 2 diabetes mellitus with multiple complications	C1093-2	190388001	1
84551000006113	type 2 diabetes mellitus with nephropathy	C109C-2	420279001	1
84561000006110	type 2 diabetes mellitus with neurological complications	C1092-2	421326000	1
84571000006115	type 2 diabetes mellitus with neuropathic arthropathy	C109H-2	314904008	1
84581000006117	type 2 diabetes mellitus with ophthalmic complications	C1091-2	422099009	1
84591000006119	type 2 diabetes mellitus with peripheral angiopathy	C109F-2	314902007	1
84601000006110	type 2 diabetes mellitus with polyneuropathy	C109B-2	713706002	1
84611000006113	type 2 diabetes mellitus with renal complications	C1090-2	420279001	1
84621000006117	type 2 diabetes mellitus with retinopathy	C1096-2	422034002	1
84631000006119	type 2 diabetes mellitus with ulcer	C1094-2	190389009	1
84641000006112	type 2 diabetes mellitus without complication	C1099-2	313436004	0
84651000006114	type i diabetes mellitus	C108-3	46635009	0
84661000006111	type i diabetes mellitus - poor control	C1088-1	444073006	0
84671000006116	type i diabetes mellitus maturity onset	C1089-1	190372001	0
84681000006118	type i diabetes mellitus with arthropathy	C108H-1	314893005	1
84691000006115	type i diabetes mellitus with diabetic cataract	C108F-1	421920002	1
84701000006115	type i diabetes mellitus with gangrene	C1086-1	420825003	1
84711000006117	type i diabetes mellitus with hypoglycaemic coma	C108E-1	314771006	0
84721000006113	type i diabetes mellitus with mononeuropathy	C108B-1	420918009	1
84731000006111	type i diabetes mellitus with multiple complications	C1083-1	422228004	1
84741000006118	type i diabetes mellitus with nephropathy	C108D-1	421893009	1
84751000006116	type i diabetes mellitus with neurological complications	C1082-1	421468001	1
84761000006119	type i diabetes mellitus with neuropathic arthropathy	C108J-1	71771000119100	1
84771000006114	type i diabetes mellitus with ophthalmic complications	C1081-1	739681000	1
84781000006112	type i diabetes mellitus with peripheral angiopathy	C108G-1	31211000119101	1
84791000006110	type i diabetes mellitus with polyneuropathy	C108C-1	713705003	1
84801000006111	type i diabetes mellitus with renal complications	C1080-1	421893009	1
84811000006114	type i diabetes mellitus with retinopathy	C1087-1	420789003	1
84821000006118	type i diabetes mellitus with ulcer	C1085-1	190368000	1
84831000006115	type i diabetes mellitus without complication	C108A-1	313435000	0
84841000006113	type ii diabetes mellitus	C109-3	44054006	0
84851000006110	type ii diabetes mellitus - poor control	C1097-1	443694000	0
84861000006112	type ii diabetes mellitus with arthropathy	C109G-1	314903002	1
84871000006117	type ii diabetes mellitus with diabetic cataract	C109E-1	420756003	1
84881000006119	type ii diabetes mellitus with gangrene	C1095-1	421631007	1
84891000006116	type ii diabetes mellitus with hypoglycaemic coma	C109D-1	719216001	0
84901000006117	type ii diabetes mellitus with mononeuropathy	C109A-1	420436000	1
84911000006119	type ii diabetes mellitus with multiple complications	C1093-1	190388001	1
84921000006110	type ii diabetes mellitus with nephropathy	C109C-1	420279001	1
84931000006113	type ii diabetes mellitus with neurological complications	C1092-1	421326000	1
84941000006115	type ii diabetes mellitus with neuropathic arthropathy	C109H-1	314904008	1
84951000006118	type ii diabetes mellitus with ophthalmic complications	C1091-1	422099009	1
84961000006116	type ii diabetes mellitus with peripheral angiopathy	C109F-1	314902007	1
84971000006111	type ii diabetes mellitus with polyneuropathy	C109B-1	713706002	1
84981000006114	type ii diabetes mellitus with renal complications	C1090-1	420279001	1
84991000006112	type ii diabetes mellitus with retinopathy	C1096-1	422034002	1
85001000006117	type ii diabetes mellitus with ulcer	C1094-1	190389009	1
85011000006119	type ii diabetes mellitus without complication	C1099-1	313436004	0
850691000006118	hyperosmolar non-ketotic state in type 2 diabetes mellitus	C109K	395204000	0
881441000006111	diabetes mellitus - juvenile	C1000-99	73211009	0
881461000006110	diabetes+ketoacidosis -no coma	C101-99	420422005	0
881471000006115	diabetes with coma	C103-99	26298008	0
881481000006117	diabetes + nephropathy	C104-99	127013003	1
881491000006119	diabetes + eye manifestation	C105-99	25093002	1
881501000006110	diabetes + neuropathy	C106-99	230572002	1
881511000006113	diabetes + periph.circulat.dis	C107-99	422275004	1
9093013	diabetic retinopathy	F420	4855003	1
913441000006119	insulin-dependent diabetes mellitus with renal complications	C10E0-2	127013003	1
913451000006117	type 1 diabetes mellitus with renal complications	C10E0	421893009	1
913461000006115	type i diabetes mellitus with renal complications	C10E0-1	421893009	1
913471000006110	insulin-dependent diabetes mellitus with ophthalmic comps	C10E1-2	25093002	1
913481000006113	type 1 diabetes mellitus with ophthalmic complications	C10E1	739681000	1
913491000006111	type i diabetes mellitus with ophthalmic complications	C10E1-1	739681000	1
913501000006115	insulin-dependent diabetes mellitus with neurological comps	C10E2-2	422088007	1
913511000006117	type 1 diabetes mellitus with neurological complications	C10E2	421468001	1
913521000006113	type i diabetes mellitus with neurological complications	C10E2-1	421468001	1
913531000006111	insulin dependent diabetes mellitus with multiple complicat	C10E3-2	385041000000108	1
913541000006118	type 1 diabetes mellitus with multiple complications	C10E3	422228004	1
913551000006116	type i diabetes mellitus with multiple complications	C10E3-1	422228004	1
913591000006110	insulin dependent diabetes mellitus with ulcer	C10E5-2	422183001	1
913621000006112	insulin dependent diabetes mellitus with gangrene	C10E6-2	422275004	1
913651000006115	insulin dependent diabetes mellitus with retinopathy	C10E7-2	4855003	1
913661000006118	type 1 diabetes mellitus with retinopathy	C10E7	420789003	1
913671000006113	type i diabetes mellitus with retinopathy	C10E7-1	420789003	1
913681000006111	insulin dependent diabetes mellitus - poor control	C10E8-2	268519009	0
913711000006112	insulin dependent diabetes maturity onset	C10E9-2	73211009	0
913771000006115	insulin dependent diabetes mellitus with mononeuropathy	C10EB-2	230577008	1
913781000006117	type 1 diabetes mellitus with mononeuropathy	C10EB	420918009	1
913791000006119	type i diabetes mellitus with mononeuropathy	C10EB-1	420918009	1
913801000006118	insulin dependent diabetes mellitus with polyneuropathy	C10EC-2	49455004	1
913811000006115	type 1 diabetes mellitus with polyneuropathy	C10EC	713705003	1
913821000006111	type i diabetes mellitus with polyneuropathy	C10EC-1	713705003	1
913831000006114	insulin dependent diabetes mellitus with nephropathy	C10ED-2	127013003	1
913841000006116	type 1 diabetes mellitus with nephropathy	C10ED	421893009	1
913851000006119	type i diabetes mellitus with nephropathy	C10ED-1	421893009	1
913891000006113	insulin dependent diabetes mellitus with diabetic cataract	C10EF-2	43959009	1
913901000006112	type 1 diabetes mellitus with diabetic cataract	C10EF	421920002	1
913911000006110	type i diabetes mellitus with diabetic cataract	C10EF-1	421920002	1
913921000006119	insulin dependent diab mell with peripheral angiopathy	C10EG-2	421895002	1
913931000006116	type 1 diabetes mellitus with peripheral angiopathy	C10EG	31211000119101	1
913941000006114	type i diabetes mellitus with peripheral angiopathy	C10EG-1	31211000119101	1
913981000006115	insulin dependent diab mell with neuropathic arthropathy	C10EJ-2	201724008	1
914031000006118	type 2 diabetes mellitus with renal complications	C10F0	420279001	1
914041000006111	type ii diabetes mellitus with renal complications	C10F0-1	420279001	1
914051000006113	type 2 diabetes mellitus with ophthalmic complications	C10F1	422099009	1
914061000006110	type ii diabetes mellitus with ophthalmic complications	C10F1-1	422099009	1
914071000006115	type 2 diabetes mellitus with neurological complications	C10F2	421326000	1
914081000006117	type ii diabetes mellitus with neurological complications	C10F2-1	421326000	1
914151000006112	type 2 diabetes mellitus with retinopathy	C10F6	422034002	1
914161000006114	type ii diabetes mellitus with retinopathy	C10F6-1	422034002	1
914221000006113	type 2 diabetes mellitus with mononeuropathy	C10FA	420436000	1
914231000006111	type ii diabetes mellitus with mononeuropathy	C10FA-1	420436000	1
914241000006118	type 2 diabetes mellitus with polyneuropathy	C10FB	713706002	1
914251000006116	type ii diabetes mellitus with polyneuropathy	C10FB-1	713706002	1
914261000006119	type 2 diabetes mellitus with nephropathy	C10FC	420279001	1
914271000006114	type ii diabetes mellitus with nephropathy	C10FC-1	420279001	1
914301000006111	type 2 diabetes mellitus with diabetic cataract	C10FE	420756003	1
914311000006114	type ii diabetes mellitus with diabetic cataract	C10FE-1	420756003	1
914391000006116	insulin treated type 2 diabetes mellitus	C10FJ	237599002	0
928461000006119	type 1 diabetes mellitus with persistent proteinuria	C10EK	420514000	1
928471000006114	type i diabetes mellitus with persistent proteinuria	C10EK-1	420514000	1
928491000006110	type i diabetes mellitus with persistent microalbuminuria	C10EL-1	401110002	1
928501000006119	type 1 diabetes mellitus with ketoacidosis	C10EM	420270002	0
928511000006116	type i diabetes mellitus with ketoacidosis	C10EM-1	420270002	0
928521000006112	type 1 diabetes mellitus with ketoacidotic coma	C10EN	421075007	0
928531000006110	type i diabetes mellitus with ketoacidotic coma	C10EN-1	421075007	0
928541000006117	type 2 diabetes mellitus with persistent proteinuria	C10FL	421986006	1
928551000006115	type ii diabetes mellitus with persistent proteinuria	C10FL-1	421986006	1
928561000006118	type 2 diabetes mellitus with persistent microalbuminuria	C10FM	420715001	0
928571000006113	type ii diabetes mellitus with persistent microalbuminuria	C10FM-1	420715001	0
928581000006111	type 2 diabetes mellitus with ketoacidosis	C10FN	421750000	0
928591000006114	type ii diabetes mellitus with ketoacidosis	C10FN-1	421750000	0
928601000006118	type 2 diabetes mellitus with ketoacidotic coma	C10FP	421847006	0
928611000006115	type ii diabetes mellitus with ketoacidotic coma	C10FP-1	421847006	0
938301000006114	type 1 diabetes mellitus with exudative maculopathy	C10EP	420486006	1
938311000006112	type i diabetes mellitus with exudative maculopathy	C10EP-1	420486006	1
938321000006116	type 2 diabetes mellitus with exudative maculopathy	C10FQ	421779007	1
938331000006118	type ii diabetes mellitus with exudative maculopathy	C10FQ-1	421779007	1
967631000006115	dm induced by non-steroid drugs without complication	C10H0	413183008	0
967701000006116	lipoatrophic diabetes mellitus	C10M	127012008	0
975251000006111	o/e - right eye stable treated prolif diabetic retinopathy	2BBk	414910007	1
975261000006113	o/e - left eye stable treated prolif diabetic retinopathy	2BBl	414894003	1
98476015	proliferative diabetic retinopathy	F4201	59276001	1
