medcodeid	term	originalreadcode	cleansedreadcode	snomedctdescriptionid	snomedctconceptid	mv	av	tv	pv	other	multiple	vhd
505828015	Rheumatic mitral valve disease	G11-1	G11..11	505828015	83898004	1						1
514511000006110	Bjork-Shiley prosthetic replacement of mitral valve	79102-1	7910211	348739017	232773001	1						1
52032016	Rheumatic mitral insufficiency	G111	G111.00	52032016	31085000	1						1
5260571000006118	Mitral late systolic murmur	^ESCTMI526057		371187017	248678007	1						1
5260581000006115	Mitral pansystolic murmur	^ESCTMI526058		371188010	248679004	1						1
526141000006115	Brock pulmonary valvulotomy	79173-1	7917311	505490010	83187002				1			1
5293941000006111	Aortic stenosis with doming	^ESCTAO529394		374098019	250973007		1					1
5293951000006113	Prosthetic aortic valve regurgitation	^ESCTPR529395		374099010	250974001		1					1
5293971000006115	Aortic cusp regurgitation	^ESCTAO529397		374101015	250976004		1					1
5293991000006119	Aortic valve appearance	^ESCTAO529399		374103017	250977008		1					1
5294141000006112	Mitral cusp prolapse	^ESCTMI529414		374121019	250989005	1						1
5294151000006114	Mitral leaf prolapse	^ESCTMI529415		374119012	250989005	1						1
5294171000006116	Ischaemic mitral valve dysfunction	^ESCTIS529417		374122014	250990001	1						1
538921000006110	Carpentier prosthetic replacement of mitral valve	79102-3	7910213	2768408010	431339008	1						1
5518031000006119	Mitral chordae rupture	^ESCTMI551803		405376018	270906004	1						1
5568791000006117	Ball valve mitral valve replacement	^ESCTBA556879		410953017	275030001	1						1
5568801000006116	Disc valve mitral valve replacement	^ESCTDI556880		410954011	275031002	1						1
5568811000006118	Single leaflet mitral valve replacement	^ESCTSI556881		410955012	275032009	1						1
5568821000006114	Bileaflet mitral valve replacement	^ESCTBI556882		410956013	275033004	1						1
5570451000006112	Ball valve aortic valve replacement	^ESCTBA557045		411142017	275199000		1					1
5570461000006114	Disc valve aortic valve replacement	^ESCTDI557046		411143010	275200002		1					1
5570501000006114	Disc valve tricuspid valve replacement	^ESCTDI557050		411147011	275204006			1				1
5570561000006110	Disc valve pulmonary valve replacement	^ESCTDI557056		411153011	275209001				1			1
55891000006112	Xenograft aortic valve replacement	79111	7911100	270946014	174928005		1					1
55901000006111	Xenograft replacement of mitral valve	79101	7910100	270925017	174919009	1						1
5590561000006116	Isolated aortic stenosis	^ESCTIS559056		413077012	276790000		1					1
5590581000006114	Pulmonary hypertension with occult mitral stenosis	^ESCTPU559058		413080013	276793003	1			1			1
5590601000006116	Mitral valve anterior leaflet prolapse	^ESCTMI559060		413082017	276795005	1						1
55911000006114	Xenograft replacement of pulmonary valve	79131	7913100	270976019	174945000				1			1
55921000006118	Xenograft replacement of tricuspid valve	79121	7912100	270960011	174936001			1				1
5721191000006117	Chronic rheumatic mitral valve	^ESCTCH572119		426440015	286947004	1						1
585851000006114	Nonrheumatic mitral valve stenosis	G113	G113.00	299594018	194727002	1						1
5889131000006114	Pulmonary valve lesion	^ESCTPU588913		442356017	301105002				1			1
5980471000006115	Porcine aortic valve replacement	^ESCTPO598047		451968010	308663002		1					1
5980491000006119	Repair of pulmonary valve with tissue graft	^ESCTRE598049		451970018	308665009				1			1
6060051000006111	Non-rheumatic aortic sclerosis	^ESCTNO606005		460134011	315615007		1					1
636731000006119	Edwards prosthetic replacement of mitral valve	79102-4	7910214	2768408010	431339008	1						1
6376621000006115	Acute mitral regurgitation	^ESCTAC637662		1211631018	373116009	1						1
6426311000006114	MVR - Mitral valve repair	^ESCTMV642631		1490905016	384641003	1						1
6426331000006115	Mitral valvoplasty	^ESCTMI642633		1490906015	384642005	1						1
6426361000006112	Repair of tricuspid valve	^ESCTRE642636		1478970018	384643000			1				1
6426371000006117	TVR - Tricuspid valve repair	^ESCTTV642637		1490909010	384643000			1				1
6426391000006116	Tricuspid valvoplasty	^ESCTTR642639		2536640016	384643000			1				1
6460761000006119	Repair of pulmonary valve	^ESCTRE646076		1480881010	386749005				1			1
6460781000006112	PVP - Pulmonary valvuloplasty	^ESCTPV646078		2536571015	386749005				1			1
6460791000006110	Pulmonary valvoplasty	^ESCTPU646079		2536572010	386749005				1			1
6782861000006115	MVP - Mitral valve prolapse	^ESCTMV678286		2477508016	409712001	1						1
6903311000006110	Mitral valve sclerosis	^ESCTMI690331		2549743010	417191003	1						1
694361000006112	Multiple valve disease, unspecified	G544X	G544X00	300013013	195002007						1	1
694371000006117	Multiple valve diseases	G544	G544.00	300013013	195002007						1	1
700741000006112	Rheumatic mitral regurgitation	G111-2	G111.12	52030012	31085000	1						1
700891000006114	Mitral valve prolapse	G540-5	G540.15	2471474013	409712001	1						1
7075031000006117	Critical stenosis of aortic valve	^ESCTCR707503		2675291013	427515002		1					1
7359511000006119	Abnormality of aortic valve	^ESCTAB735951		2900011011	448743001		1					1
7392981000006119	Infective endocarditis of aortic valve	^ESCTIN739298		2922369011	459068007		1					1
7395121000006110	Infective endocarditis of tricuspid valve	^ESCTIN739512		2922589011	459151006			1				1
7395141000006115	Infective endocarditis of mitral valve	^ESCTIN739514		2922585017	459152004	1						1
7395161000006116	Infective endocarditis of pulmonary valve	^ESCTIN739516		2922582019	459153009				1			1
7424051000006117	Mitral valve clip	^ESCTMI742405		2947974014	464887003	1						1
7571651000006116	Prosthetic mitral valve stenosis	^ESCTPR757165		3007450014	703167007	1						1
7571961000006114	Endocarditis of prosthetic pulmonary valve	^ESCTEN757196		3007780015	703191003				1			1
7572651000006112	Non-rheumatic aortic valve stenosis with regurgitation	^ESCTNO757265		3007685018	703236000		1					1
7573991000006117	Aortic valve regurgitation due to aortic dilation	^ESCTAO757399		3008247012	703323003		1					1
7574001000006114	Aortic valve regurgitation secondary to aortic dilation	^ESCTAO757400		3008326011	703323003		1					1
7574031000006118	Aortic valve regurgitation due to aortic dissection	^ESCTAO757403		3008355015	703325005		1					1
7574041000006111	Mitral valve regurgitation due to acute myocardial infarction	^ESCTMI757404		3008312019	703326006	1						1
7574081000006117	Mitral valve regurgitation due to acute myocardial infarction without papillary muscle and chordal rupture	^ESCTMI757408		3008299014	703328007	1						1
7574471000006113	Degenerative mitral valve prolapse	^ESCTDE757447		3008399012	703359009	1						1
7867911000006112	Transcatheter aortic valve replacement	^ESCTTR786791		3441675014	725351001		1					1
7867921000006116	TAVR -transcatheter aortic valve replacement	^ESCTTA786792		3441676010	725351001		1					1
81186016	Mitral valve regurgitation	G540-4	G540.14	81186016	48724000	1						1
81191015	Mitral valve incompetence	G540	G540.00	81193017	48724000	1						1
81192010	Mitral valve insufficiency	G540-2	G540.12	81192010	48724000	1						1
81193017	Mitral regurgitation	G540-6	G540.16	81193017	48724000	1						1
818841000006115	Heart valve disorders - non rheumatic	G54-1	G54..11	409856013	274097009					1		1
8464141000006116	Transcatheter aortic valve implantation	^ESCTTR846414		2720601000000117	1086011000000102		1					1
8464151000006119	TAVI - transcatheter aortic valve implantation	^ESCTTA846415		2720621000000114	1086011000000102		1					1
87501000006118	Rheumatic tricuspid regurgitation	G1401-1	G140111	1232959011	67696008			1				1
88255012	Replacement of mitral valve	7910-2	7910.12	88255012	53059001	1						1
883991000006114	Chronic rheumatic mitral valve	G11-99	G11..99	883991000006114	11851006	1						1
884001000006117	RH. mitral stenosis + insuffic	G112-99	G112.99	884001000006117	194726006	1						1
884011000006119	Rheumatic mitral disease NOS	G11z-99	G11z.99	884011000006119	639451000000102	1						1
884021000006110	Chronic rheumatic aortic valve	G12-99	G12..99	884021000006110	12023003		1					1
884031000006113	RH. aortic stenosis + insuffic	G122-99	G122.99	884031000006113	17759006		1					1
884041000006115	Rheumatic aortic disease NOS	G12z-99	G12z.99	884041000006115	639461000000104		1					1
884051000006118	Mitral + aortic valve disease	G13-99	G13..99	884051000006118	194732001	1	1					1
884071000006111	RH. tricuspid valve disease	G140-99	G140.99	884071000006111	639491000000105			1				1
884081000006114	RH. pulmonary valve disease	G141-99	G141.99	884081000006114	18687009				1			1
884261000006112	Non-rheumatic valvular disease	G54-99	G54..99	884261000006112	682551000000104					1		1
884271000006117	Non-rheum. mitral incompetence	G5400-99	G540099	884271000006117	194978002	1						1
884281000006119	Non-rheumatic aortic sclerosis	G5410-98	G541098	884281000006119	194983005		1					1
884291000006116	Non-rheum. aortic incompetence	G5410-99	G541099	884291000006116	194983005		1					1
884301000006115	Non-rheum. tricuspid incomp.	G5420-99	G542099	884301000006115	194990000			1				1
884311000006117	Non-rheum. tricuspid stenosis	G5421-99	G542199	884311000006117	194991001			1				1
989091000006116	Mitral + aortic valve disease	G13y-99	G13y.99	989091000006116	194737007	1	1					1
989101000006110	RH. tricuspid valve disease	G140z-99	G140z99	989101000006110	612101000000109			1				1
991631000006110	Rheumatic aortic disease NOS	G12-98	G12..98	991631000006110	12023003		1					1
