medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	cerebro	stroke	tia	stroke_tia	class	subclass
542831000006116	cerebral embolus	G641-1	G641.11	75543006	125470015	1	1		1	stroke	ischaemic stroke
543141000006110	cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	G6X	G6X..00	20059004	33759015	1	1		1	stroke	ischaemic stroke
5492201000006111	tia - transient ischaemic attack	^ESCTTI549220		266257000	395784018	1		1	1	tia	ischaemic stroke
5518041000006112	Spontaneous subarachnoid haemorrhage	^ESCTSP551804		270907008	405380011	1	1		1	stroke	haemorrhagic stroke
5583011000006117	Unruptured aneurysm of carotid artery	^ESCTUN558301		276279006	412352011	1				cerebrovascular disease	
5583021000006113	subarachnoid haemorrhage from middle cerebral artery aneurysm	^ESCTSU558302		276280009	412353018	1	1		1	stroke	haemorrhagic stroke
5583061000006119	Subarachnoid haemorrhage from anterior communicating artery aneurysm	^ESCTSU558306		276282001	412357017	1	1		1	stroke	haemorrhagic stroke
5583081000006112	Subarachnoid haemorrhage from posterior communicating artery aneurysm	^ESCTSU558308		276283006	412360012	1	1		1	stroke	haemorrhagic stroke
5592861000006115	Percutaneous endarterectomy of internal carotid artery	^ESCTPE559286		276949008	413330014	1				cerebrovascular disease	
5597041000006114	cpsp - central post-stroke pain	^ESCTCP559704		277286006	.	1	1		1	stroke	other
5597471000006111	Unruptured internal carotid bifurcation aneurysm	^ESCTUN559747		277314001	413792018	1				cerebrovascular disease	
5597651000006116	Ruptured internal carotid-posterior communicating artery zone aneurysm	^ESCTRU559765		277329004	413811018	1	1		1	stroke	haemorrhagic stroke
5726831000006118	Cerebral ischaemia	^ESCTCE572683		287731003	427284014	1	1		1	stroke	ischaemic stroke
5736641000006113	acute ill-defined cerebrovascular disease	^ESCTAC573664		288723005	.	1				cerebrovascular disease	
5836951000006117	Intracranial venous thrombosis	^ESCTIN583695		297157005	437623015	1				cerebrovascular disease	
5967391000006111	Multiple lacunar infarcts	^ESCTMU596739		307363008	450609012	1	1		1	stroke	ischaemic stroke
605481000006110	cva - cerebrovascular accident in the puerperium	L440-1	L440.11	275434003	411416011	1	1		1	stroke	ischaemic stroke
605501000006117	cva unspecified	G66-1	G66..11	230690007	345637012	1	1		1	stroke	ischaemic stroke
641561000006113	Endarterectomy of carotid artery and patch repair of carotid artery	7A203	7A20300	175367001	271532012	1				cerebrovascular disease	
641731000006114	Endarterectomy of vertebral artery and patch repair of vertebral artery	7A26A	7A26A00	175425009	271612016	1	1		1	stroke	ischaemic stroke
660111000006117	Nontraumatic extradural haemorrhage	G620	G620.00	397809001	1773153015	1	1		1	stroke	haemorrhagic stroke
6715411000006111	Stenosis of lower limb artery	^ESCTST671541		405556007	2157354010	1				cerebrovascular disease	
67501000006115	Vertebrobasilar artery syndrome	G6510	G651000	195199008	300343015	1	1		1	stroke	ischaemic stroke
67511000006117	Vertebro-basilar insufficiency	G65-3	G65..13	64009001	106394016	1	1		1	stroke	ischaemic stroke
7044461000006117	Stenosis of brachiocephalic artery	^ESCTST704446		425448004	2675301015	1				cerebrovascular disease	
7054171000006115	Acute lacunar infarction	^ESCTAC705417		426107000	2674093010	1	1		1	stroke	ischaemic stroke
7064691000006118	Transient cerebral ischaemia due to atrial fibrillation	^ESCTTR706469		426814001	2675245017	1		1	1	tia	ischaemic stroke
7226691000006114	Percutaneous transluminal angioplasty of cerebral venous sinus using fluoroscopic guidance	^ESCTPE722669		439700004	2791860014	1				cerebrovascular disease	
7251281000006117	dysphasia as late effect of cerebrovascular disease	^ESCTDY725128		441529001	.	1				cerebrovascular disease	
7252841000006116	aphasia as late effect of cerebrovascular disease	^ESCTAP725284		441630004	.	1				cerebrovascular disease	
7254411000006111	sensory disorder as a late effect of cerebrovascular disease	^ESCTSE725441		441735003	.	1				cerebrovascular disease	
7254771000006114	abnormal vision as a late effect of cerebrovascular disease	^ESCTAB725477		441759008	.	1				cerebrovascular disease	
7256601000006115	monoplegia of lower limb as late effect of cerebrovascular disease	^ESCTMO725660		441887006	.	1				cerebrovascular disease	
7258571000006111	hemiplegia as late effect of cerebrovascular disease	^ESCTHE725857		442024001	.	1				cerebrovascular disease	
7259611000006114	monoplegia of upper limb as late effect of cerebrovascular disease	^ESCTMO725961		442097001	.	1				cerebrovascular disease	
7266721000006113	hemiplegia of nondominant side as late effect of cerebrovascular disease	^ESCTHE726672		442668000	.	1				cerebrovascular disease	
7266791000006110	hemiplegia of dominant side as late effect of cerebrovascular disease	^ESCTHE726679		442676003	.	1				cerebrovascular disease	
7289121000006119	Recurrent transient cerebral ischaemic attack	^ESCTRE728912		444172003	2840804011	1		1	1	tia	ischaemic stroke
7289131000006116	Recurrent transient cerebral ischemic attack	^ESCTRE728913		444172003	2840805012	1		1	1	tia	ischaemic stroke
744901000006114	intracerebral haemorrhage (ich)	G61	G61..00	274100004	2819959010	1	1		1	stroke	haemorrhagic stroke
744921000006116	intracerebral haemorrhage in hemisphere, unspecified	G61X	G61X.00	274100004	409860011	1	1		1	stroke	haemorrhagic stroke
746571000006116	intracerebral haemorrhage, multiple localized	G618	G618.00	195169004	300280012	1	1		1	stroke	haemorrhagic stroke
748941000006115	left sided intracerebral haemorrhage, unspecified	G61X0	G61X000	274100004	409859018	1	1		1	stroke	haemorrhagic stroke
7571571000006110	secondary cerebrovascular disease	^ESCTSE757157		703163006	.	1				cerebrovascular disease	
7674171000006113	transient ischaemic attack due to embolism	^ESCTTR767417		710575003	.	1		1	1	tia	ischaemic stroke
7833631000006111	cerebellar haemorrhage due to birth injury	^ESCTCE783363		722575008	.	1	1		1	stroke	haemorrhagic stroke
7840021000006110	sequela of non-traumatic intracerebral haemorrhage	^ESCTSE784002		723084007	.	1	1		1	stroke	haemorrhagic stroke
7855631000006111	Cerebral ischaemic stroke due to small artery occlusion	^ESCTCE785563		724424009	3438036013	1	1		1	stroke	ischaemic stroke
7863741000006115	Cerebral ischemic stroke due to stenosis of extracranial large artery	^ESCTCE786374		724994008	3436999014	1	1		1	stroke	ischaemic stroke
7990811000006110	Symptomatic carotid artery stenosis	^ESCTSY799081		9611000119107	2968231011	1				cerebrovascular disease	
8006561000006111	monoplegia of leg dominant side as sequela of cerebrovascular disease	^ESCTMO800656		18751000119106	.	1				cerebrovascular disease	
8006601000006111	monoplegia of arm dominant side as sequela of cerebrovascular disease	^ESCTMO800660		18761000119108	.	1				cerebrovascular disease	
800691000006113	diffuse cerebrovascular disease	G671	G671.00	302909007	444905019	1				cerebrovascular disease	
8011371000006117	Sequela of ischaemic cerebral infarction	^ESCTSE801137		23671000119107	2967516015	1	1		1	stroke	ischaemic stroke
8013501000006117	vertigo as sequela of cerebrovascular disease	^ESCTVE801350		26021000119107	.	1				cerebrovascular disease	
8014261000006116	ataxia as sequela of cerebrovascular disease	^ESCTAT801426		29941000119105	.	1				cerebrovascular disease	
8015131000006115	cerebral infarction due to vertebral artery occlusion	^ESCTCE801513		34191000119104	.	1	1		1	stroke	ischaemic stroke
8026081000006119	visual disturbance as sequela of cerebrovascular disease	^ESCTVI802608		87551000119101	2967618012	1				cerebrovascular disease	
8031281000006118	Cerebral infarction due to stenosis of carotid artery	^ESCTCE803128		99451000119105	2967601013	1	1		1	stroke	ischaemic stroke
8042111000006110	dysarthria as late effects of cerebrovascular disease	^ESCTDY804211		133981000119106	.	1				cerebrovascular disease	
8042121000006119	fluency disorder as sequela of cerebrovascular disease	^ESCTFL804212		133991000119109	.	1				cerebrovascular disease	
8044141000006119	hemiparesis as late effect of cerebrovascular disease	^ESCTHE804414		140281000119108	.	1				cerebrovascular disease	
8045251000006112	spontaneous cerebellar haemorrhage	^ESCTSP804525		142851000119103	.	1	1		1	stroke	haemorrhagic stroke
8046321000006118	apraxia as late effect of cerebrovascular disease	^ESCTAP804632		145741000119101	.	1				cerebrovascular disease	
8046951000006114	Cerebral infarction due to carotid artery occlusion	^ESCTCE804695		149821000119103	2967501018	1	1		1	stroke	ischaemic stroke
8086861000006114	Atherosclerosis of bilateral carotid arteries	^ESCTAT808686		284861000119104	3360661015	1				cerebrovascular disease	
8086891000006118	Left carotid artery atherosclerosis	^ESCTLE808689		284871000119105	2921274016	1				cerebrovascular disease	
8086901000006119	Atherosclerosis of right carotid artery	^ESCTAT808690		284881000119108	3360659012	1				cerebrovascular disease	
8087261000006113	Left carotid artery stenosis	^ESCTLE808726		285191000119103	2921313017	1				cerebrovascular disease	
8087281000006115	Right carotid artery stenosis	^ESCTRI808728		285201000119100	2921310019	1				cerebrovascular disease	
8089851000006116	nontraumatic intracerebral haemorrhage	^ESCTNO808985		291571000119106	3331108011	1	1		1	stroke	haemorrhagic stroke
841051000006113	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	G678	G678.00	390936003	1477210016	1	1		1	stroke	ischaemic stroke
8454601000006119	emergency hospital admission to transient ischaemic attack service	^ESCTEM845460		1079201000000105	.	1		1	1	tia	ischaemic stroke
884431000006116	Extradural haemorrhage	G620-99	G620.99	397809001	884431000006116	1	1		1	stroke	haemorrhagic stroke
884441000006114	Subdural haemorrhage	G621-99	G621.99	195176009	884441000006114	1	1		1	stroke	haemorrhagic stroke
884511000006111	transient ischaemic attacks	G65z-99	G65z.99	584181000000100	884511000006111	1		1	1	tia	ischaemic stroke
884551000006112	Cerebral aneurysm-non ruptured	G673-99	G673.99	42994005	884551000006112	1				cerebrovascular disease	
896541000006117	Intracerebral injury NOS	S64z-99	S64z.99	684491000000102	896541000006117	1	1		1	stroke	haemorrhagic stroke
92070010	Cerebral atherosclerosis	G670	G670.00	55382008	92070010	1				cerebrovascular disease	
938561000006115	Carotid atherosclerosis	G70y0	G70y000	300920004	442119017	1				cerebrovascular disease	
95931000006111	Transient cerebral ischaemia NOS	G65z	G65z.00	266257000	395788015	1		1	1	tia	ischaemic stroke
9836791000006118	Aneurysm of left internal carotid artery	^ESCTAN983679		1.56484010001e+16	3322888018	1				cerebrovascular disease	
9836831000006113	Aneurysm of left carotid artery	^ESCTAN983683		1.56485610001e+16	3322882017	1				cerebrovascular disease	
9875951000006117	Cerebrovascular accident due to right carotid artery stenosis	^ESCTCE987595		1.60269510001e+16	3308759010	1	1		1	stroke	ischaemic stroke
9875961000006115	Cerebrovascular accident due to left carotid artery stenosis	^ESCTCE987596		1.60269910001e+16	3308763015	1	1		1	stroke	ischaemic stroke
988951000006117	transient ischaemic attacks	G65-99	G65..99	266257000	988951000006117	1		1	1	tia	ischaemic stroke
