medcodeid	readcode	term	originalreadcode	snomedctconceptid	label	class	subclass	stroke	tia	cerebro
101523017	G72y100	Aneurysm of external carotid artery	G72y1	61091005	1	cerebrovascular disease				1
107332010	G634.00	Carotid artery stenosis	G634	64586002	1	cerebrovascular disease				1
1235117015	7A28200	Percutaneous transluminal angioplasty of vertebral artery	7A282	86274005	4	stroke	ischaemic stroke	1		1
126301000006113	G63..12	Stenosis of precerebral artery	G63-2	1055001	1	cerebrovascular disease				1
126531000006111	G631.11	Stenosis, carotid artery	G631-1	64586002	1	cerebrovascular disease				1
13630281000006117		Aneurysm of internal carotid bifurcation	^ESCT1363028	783415001	1	cerebrovascular disease				1
13661661000006114		Stenosis of both carotid arteries	^ESCT1366166	787044009	1	cerebrovascular disease				1
13661671000006119		Stenosis of bilateral carotid arteries	^ESCT1366167	787044009	1	cerebrovascular disease				1
13717171000006112		Cerebrovascular accident due to stenosis of bilateral carotid arteries	^ESCT1371717	1.66619710001e+16	1	stroke	ischaemic stroke	1		1
13937171000006112		Stenosis of cerebral artery	^ESCT1393717	838275008	1	cerebrovascular disease				1
14014281000006112		Cerebrovascular accident due to stenosis of bilateral vertebral arteries	^ESCT1401428	1.66619310001e+16	1	stroke	ischaemic stroke	1		1
14095711000006110		Stenosis of right carotid artery	^ESCT1409571	285201000119100	1	cerebrovascular disease				1
14194191000006114		Acute cerebrovascular accident due to stenosis of left carotid artery	^ESCT1419419	4.65832210001e+16	1	stroke	ischaemic stroke	1		1
14194661000006111		Acute cerebrovascular accident due to stenosis of right carotid artery	^ESCT1419466	6.93158221000e+17	1	stroke	ischaemic stroke	1		1
14457851000006110		Cerebral venous sinus thrombosis in pregnancy	^ESCT1445785	1156027008	1	cerebrovascular disease				1
14457901000006117		Cerebral venous sinus thrombosis in puerperium	^ESCT1445790	1156029006	1	cerebrovascular disease				1
14501081000006115		Cerebral venous thrombosis in puerperium	^ESCT1450108	200260008	1	cerebrovascular disease				1
1729331000006116		Cerebral venous thrombosis	EMISNQCE11	1729331000006100	1	cerebrovascular disease				1
1746621000006118	7A20498	Carotid endarterectomy	7A204-98	1746621000006102	4	cerebrovascular disease				1
2549541000006119		Thrombophlebitis of intracranial venous sinus	^ESCTTH254954	3168002	1	cerebrovascular disease				1
2672991000006115		Aneurysm of common carotid artery	^ESCTAN267299	10878002	1	cerebrovascular disease				1
267311000006118	G677400	Occlusion and stenosis of multiple and bilateral cerebral arteries	G6774	195236009	1	cerebrovascular disease				1
271533019	7A20311	Carotid endarterectomy and patch	7A203-1	175367001	4	cerebrovascular disease				1
271534013	7A20400	Carotid endarterectomy	7A204	66951008	4	cerebrovascular disease				1
271542014	7A21400	Operation on aneurysm of carotid artery	7A214	175376008	4	cerebrovascular disease				1
271546012	7A22000	Percutaneous transluminal angioplasty of carotid artery	7A220	175380003	4	cerebrovascular disease				1
271605013	7A26300	Endarterectomy of vertebral artery	7A263	175418002	4	stroke	ischaemic stroke	1		1
271614015	7A26C00	Endarterectomy of vertebral artery NEC	7A26C	175418002	4	stroke	ischaemic stroke	1		1
2729571000000119		Cerebral infarction due to stenosis of cerebral artery	^ESCT1171763	1089421000000105	1	stroke	ischaemic stroke	1		1
2838001000006118		Cerebral venous thrombosis of lateral sinus	^ESCTCE283800	21258007	1	stroke	ischaemic stroke	1		1
2893081000006112		Internal carotid aneurysm	^ESCTIN289308	24624008	1	cerebrovascular disease				1
296931015	F05..00	Phlebitis and thrombophlebitis of intracranial sinuses	F05	192753009	1	cerebrovascular disease				1
300942019	Gyu6500	[X]Occlusion and stenosis of other precerebral arteries	Gyu65	266253001	1	cerebrovascular disease				1
307780013	L417.00	Obstetric cerebral venous thrombosis	L417	200258006	1	cerebrovascular disease				1
307781012	L417000	Cerebral venous thrombosis in pregnancy	L4170	200259003	1	cerebrovascular disease				1
307782017	L417100	Cerebral venous thrombosis in the puerperium	L4171	200260008	1	cerebrovascular disease				1
3384641000006117		Basilar artery stenosis	^ESCTBA338464	54519002	1	cerebrovascular disease				1
3550511000006115		Carotid artery narrowing	^ESCTCA355051	64586002	1	cerebrovascular disease				1
3588611000006113		CEA - Carotid endarterectomy	^ESCTCE358861	66951008	4	cerebrovascular disease				1
3971061000006111		Vertebral artery stenosis	^ESCTVE397106	90520006	1	cerebrovascular disease				1
4056981000006115		Cerebral venous thrombosis	^ESCTCE405698	95455008	1	cerebrovascular disease				1
41282012	G72y200	Aneurysm of internal carotid artery	G72y2	24624008	1	cerebrovascular disease				1
4768491000006118		Thrombosis of intracranial venous sinus	^ESCTTH476849	192759008	1	cerebrovascular disease				1
482451000006111	G72y000	Aneurysm of common carotid art	G72y0	10878002	1	cerebrovascular disease				1
5011651000006111		Cerebral venous thrombosis of sigmoid sinus	^ESCTCE501165	230721009	1	cerebrovascular disease				1
5011661000006113		Cerebral venous thrombosis of cortical vein	^ESCTCE501166	230722002	1	cerebrovascular disease				1
5011671000006118		Cerebral venous thrombosis of great cerebral vein	^ESCTCE501167	230723007	1	cerebrovascular disease				1
5048771000006110		Endarterectomy of internal carotid artery	^ESCTEN504877	233296007	4	cerebrovascular disease				1
5058131000006113		Internal carotid artery stenosis	^ESCTIN505813	233964008	1	cerebrovascular disease				1
5058141000006115		ICA - Internal carotid artery stenosis	^ESCTIC505814	233964008	1	cerebrovascular disease				1
5058511000006110		Carotid artery aneurysm	^ESCTCA505851	233988005	1	cerebrovascular disease				1
542251000006112	G676000	Cerebral infarction due to cerebral venous thrombosis, non-pyogenic	G6760	195230003	1	stroke	ischaemic stroke	1		1
5583011000006117		Unruptured aneurysm of carotid artery	^ESCTUN558301	276279006	1	cerebrovascular disease				1
5592861000006115		Percutaneous endarterectomy of internal carotid artery	^ESCTPE559286	276949008	4	cerebrovascular disease				1
5597471000006111		Unruptured internal carotid bifurcation aneurysm	^ESCTUN559747	277314001	1	cerebrovascular disease				1
5597651000006116		Ruptured internal carotid-posterior communicating artery zone aneurysm	^ESCTRU559765	277329004	1	stroke	haemorrhagic stroke	1		1
5836951000006117		Intracranial venous thrombosis	^ESCTIN583695	297157005	1	cerebrovascular disease				1
641561000006113	7A20300	Endarterectomy of carotid artery and patch repair of carotid artery	7A203	175367001	4	cerebrovascular disease				1
641731000006114	7A26A00	Endarterectomy of vertebral artery and patch repair of vertebral artery	7A26A	175425009	4	stroke	ischaemic stroke	1		1
6715411000006111		Stenosis of lower limb artery	^ESCTST671541	405556007	1	cerebrovascular disease				1
7044461000006117		Stenosis of brachiocephalic artery	^ESCTST704446	425448004	1	cerebrovascular disease				1
7226691000006114		Percutaneous transluminal angioplasty of cerebral venous sinus using fluoroscopic guidance	^ESCTPE722669	439700004	4	cerebrovascular disease				1
7863741000006115		Cerebral ischemic stroke due to stenosis of extracranial large artery	^ESCTCE786374	724994008	1	stroke	ischaemic stroke	1		1
7990811000006110		Symptomatic carotid artery stenosis	^ESCTSY799081	9611000119107	1	cerebrovascular disease				1
8031281000006118		Cerebral infarction due to stenosis of carotid artery	^ESCTCE803128	99451000119105	1	stroke	ischaemic stroke	1		1
8086861000006114		Atherosclerosis of bilateral carotid arteries	^ESCTAT808686	284861000119104	1	cerebrovascular disease				1
8086891000006118		Left carotid artery atherosclerosis	^ESCTLE808689	284871000119105	1	cerebrovascular disease				1
8086901000006119		Atherosclerosis of right carotid artery	^ESCTAT808690	284881000119108	1	cerebrovascular disease				1
8087261000006113		Left carotid artery stenosis	^ESCTLE808726	285191000119103	1	cerebrovascular disease				1
8087281000006115		Right carotid artery stenosis	^ESCTRI808728	285201000119100	4	cerebrovascular disease				1
938561000006115	G70y000	Carotid atherosclerosis	G70y0	300920004	1	cerebrovascular disease				1
9836791000006118		Aneurysm of left internal carotid artery	^ESCTAN983679	1.56484010001e+16	1	cerebrovascular disease				1
9836831000006113		Aneurysm of left carotid artery	^ESCTAN983683	1.56485610001e+16	1	cerebrovascular disease				1
9875951000006117		Cerebrovascular accident due to right carotid artery stenosis	^ESCTCE987595	1.60269510001e+16	1	stroke	ischaemic stroke	1		1
9875961000006115		Cerebrovascular accident due to left carotid artery stenosis	^ESCTCE987596	1.60269910001e+16	1	stroke	ischaemic stroke	1		1
