medcodeid	desc	originalreadcode	snomedctconceptid	ctd
3391131000006118	drug-induced lupus erythematosus due to hydralazine		54912002	1
3391141000006111	drug-induced lupus erythematosus caused by hydralazine		54912002	1
92209015	disseminated lupus erythematosus		55464009	1
3498511000006116	drug-induced lupus erythematosus caused by diphenylhydantoin		61458006	1
3498501000006119	drug-induced lupus erythematosus due to diphenylhydantoin		61458006	1
2600311000006116	anarhichas lupus		6290000	1
3529431000006116	lupus antibody screening		63300003	1
3619241000006113	systemic lupus erythematosus glomerulonephritis syndrome		68815009	1
114310015	lupus nephritis		68815009	1
7532951000006118	discoid lupus erythematosus of lower eyelid		700269001	1
7533801000006115	discoid lupus erythematosus of upper eyelid		700334001	1
7586981000006119	maternal history of systemic lupus erythematosus		704143006	1
2612551000006113	lupus erythematosus cell		7055007	1
7615031000006118	lupus erythematosus of oral mucosa		707301001	1
7615021000006116	lupus erythematosus of oral mucous membrane		707301001	1
7659201000006110	canis lupus dingo		709853007	1
309383019	cutaneous lupus erythematosus		7119001	1
7701371000006112	gingival disease co-occurrent and due to lupus erythematosus		713225000	1
7718861000006116	lupus vulgaris of nose		714394004	1
8022621000006111	endocarditis due to systemic lupus erythematosus		72181000119109	1
7860981000006118	chorea co-occurrent and due to systemic lupus erythematosus		724767000	1
7860991000006115	chorea with systemic lupus erythematosus		724767000	1
7861211000006111	demyelination with systemic lupus erythematosus		724781003	1
7861201000006113	demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus		724781003	1
3691811000006110	systemic lupus erythematosus glomerulonephritis syndrome, world health organization class i		73286009	1
3691801000006112	systemic lupus erythematosus glomerulonephritis syndrome, world health organization (who) class i		73286009	1
3691781000006113	lupus nephritis - who class i		73286009	1
3691791000006111	systemic lupus erythematosus glomerulonephritis syndrome, world health organisation (who) class i		73286009	1
7951821000006116	secondary autoimmune haemolytic anaemia co-occurrent and due to systemic lupus erythematosus		732960002	1
7951831000006118	secondary autoimmune hemolytic anemia co-occurrent and due to systemic lupus erythematosus		732960002	1
7951841000006111	haemolytic anaemia associated with systemic lupus erythematosus		732960002	1
7951851000006113	hemolytic anemia associated with systemic lupus erythematosus		732960002	1
3526841010	lupus sensitive technique		737116009	1
3526842015	lupus sensitive percent correction technique		737117000	1
3526844019	lupus sensitive excess phospholipid technique		737118005	1
3634897018	lupus sensitive with 1:1 pooled normal plasma technique		761999003	1
3744671000006116	systemic lupus erythematosus glomerulonephritis syndrome, world health organization (who) class iii		76521009	1
3744661000006111	lupus nephritis - who class iii		76521009	1
3744681000006118	systemic lupus erythematosus glomerulonephritis syndrome, world health organisation (who) class iii		76521009	1
3744691000006115	systemic lupus erythematosus glomerulonephritis syndrome, world health organization class iii		76521009	1
3765031000006115	lupus disease of the lung		77753005	1
3789511000006117	discoid lupus eyelid		79291003	1
660871000006118	eyelid discoid lupus erythematosus		79291003	1
3789501000006115	discoid lupus erythematosus eyelid		79291003	1
3789491000006111	discoid lupus erythematosus of eyelid		79291003	1
3791031000006115	ictalurus lupus		79387005	1
8256141000006115	lupus insensitive aptt (activated partial thromboplastin time)		801661000000102	1
3805521000006111	drug-induced lupus erythematosus		80258006	1
4054931000006112	butterfly rash associated with systemic lupus		95332009	1
4054921000006114	rash of systemic lupus erythematosus		95332009	1
4056181000006118	systemic lupus erythematosus arthritis		95408003	1
4059661000006111	neonatal lupus		95609003	1
158372014	neonatal lupus erythematosus		95609003	1
512234017	cerebral lupus		95644001	1
4060271000006119	lupus encephalopathy		95644001	1
4060291000006118	cerebral systemic lupus erythematosus		95644001	1
